"Rank","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"27","","Robert Woods","LAR","WR14","at CHI","18","60","28.7","4.6"
"28","","James White","NE","RB13","at MIA","17","47","29.2","6.8"
"29","","Amari Cooper","DAL","WR15","vs. PHI","16","45","30.6","4.2"
"30","","Mark Ingram","NO","RB14","at TB","20","49","31.3","6.1"
"31","","Stefon Diggs","MIN","WR16","at SEA","12","55","31.8","7.4"
"32","","Zach Ertz","PHI","TE2","at DAL","18","44","31.9","5.9"
"33","","Tarik Cohen","CHI","RB15","vs. LAR","11","42","32.0","4.8"
"34","","Lamar Miller","HOU","RB16","vs. IND","21","45","33.3","5.1"
"35","","Dalvin Cook","MIN","RB17","at SEA","20","51","33.5","6.1"
"36","","Gus Edwards","BAL","RB18","at KC","19","46","33.8","5.0"
"37","","Spencer Ware","KC","RB19","vs. BAL","28","63","37.8","6.6"
"38","","Julian Edelman","NE","WR17","at MIA","28","60","39.9","5.3"
"39","","Austin Ekeler","LAC","RB20","vs. CIN","19","54","40.4","7.1"
"40","","George Kittle","SF","TE3","vs. DEN","23","62","43.2","6.6"
"41","","Chris Carson","SEA","RB21","vs. MIN","31","68","45.1","5.5"
"42","","Eric Ebron","IND","TE4","at HOU","27","73","45.8","7.6"
"43","","Adrian Peterson","WAS","RB22","vs. NYG","34","63","46.5","5.4"
"44","","Marlon Mack","IND","RB23","at HOU","33","68","48.4","5.1"
"45","","Adam Humphries","TB","WR18","vs. NO","36","93","48.4","9.3"
"46","","Josh Gordon","NE","WR19","at MIA","29","79","49.1","7.1"
"47","","LeSean McCoy","BUF","RB24","vs. NYJ","35","75","49.8","6.0"
"48","","Kenny Golladay","DET","WR20","at ARI","30","70","51.0","8.4"
"49","","Jarvis Landry","CLE","WR21","vs. CAR","38","82","51.9","8.4"
"50","","Justin Jackson","LAC","RB25","vs. CIN","34","125","53.5","9.9"
"51","","Tyler Lockett","SEA","WR22","vs. MIN","29","67","53.6","6.6"
"52","","Josh Adams","PHI","RB26","at DAL","42","77","55.0","6.2"
"53","","Corey Davis","TEN","WR23","vs. JAC","42","78","56.6","9.0"
"54","","Tevin Coleman","ATL","RB27","at GB","44","94","56.6","6.6"
"55","","Kenyan Drake","MIA","RB28","vs. NE","49","85","56.8","4.8"
"56","","Rob Gronkowski","NE","TE5","at MIA","36","90","57.2","10.9"
"57","","D.J. Moore","CAR","WR24","at CLE","37","78","57.4","5.7"
"58","","Tyler Boyd","CIN","WR25","at LAC","36","74","58.9","9.0"
"59","","Jeffery Wilson","SF","RB29","vs. DEN","32","143","59.7","16.4"
"60","","Chris Godwin","TB","WR26","vs. NO","28","77","61.2","7.2"
"61","","Larry Fitzgerald","ARI","WR27","vs. DET","39","81","61.6","8.5"
"62","","Jared Cook","OAK","TE6","vs. PIT","41","87","61.9","11.1"
"63","","Dion Lewis","TEN","RB30","vs. JAC","47","91","63.7","8.8"
"64","","Allen Robinson","CHI","WR28","vs. LAR","43","103","64.9","6.2"
"65","","Courtland Sutton","DEN","WR29","at SF","29","79","67.7","9.2"
"66","","Alshon Jeffery","PHI","WR30","at DAL","55","103","67.8","8.8"
"82","","Jaylen Samuels","PIT","RB36","at OAK","26","184","69.0","48.5"
