"Rank","WSIT","Flex Position (RB/WR/TE)","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"121","","Robby Anderson","NYJ","WR56","11","114","157","126.8","5.7"
"144","","Elijah McGuire","NYJ","RB56","11","101","136","128.6","4.8"
"123","","Jonnu Smith","TEN","TE18","8","117","151","128.8","11.2"
"124","","Marquise Goodwin","SF","WR58","11","97","158","129.8","18.4"
"125","","T.J. Yeldon","JAC","RB49","9","84","168","130.0","16.7"
"126","","Antonio Callaway","CLE","WR59","11","100","167","131.0","16.0"
"127","","Randall Cobb","GB","WR60","7","104","159","132.0","15.6"
"128","","Ito Smith","ATL","RB50","8","103","174","133.0","6.2"
"129","","Latavius Murray","MIN","RB51","10","107","160","133.0","7.7"
"130","","Ricky Seals-Jones","ARI","TE19","9","77","194","134.2","10.0"
"131","","Dede Westbrook","JAC","WR61","9","87","150","134.2","8.9"
"132","","Devante Parker","MIA","WR62","11","108","157","134.2","10.5"
"133","","Quincy Enunwa","NYJ","WR63","11","112","152","134.2","12.4"
"135","","Kenny Stills","MIA","WR64","11","97","176","135.5","15.4"
"136","","Mike Davis","SEA","RB53","7","116","141","136.3","3.1"
"137","","Gerald Everett","LAR","TE20","12","126","180","139.2","6.0"
"138","","Michael Gallup","DAL","WR65","8","122","167","140.3","13.0"
"139","","Kenneth Dixon","BAL","RB54","10","107","197","141.0","13.2"
"153","","Giovani Bernard","CIN","RB59","9","130","156","143.2","3.0"
"142","","Nick Vannett","SEA","TE21","7","126","175","143.7","10.1"
"143","","Jaylen Samuels","PIT","RB55","7","41","233","146.0","45.5"
"154","","Carlos Hyde","JAC","RB60","9","130","201","146.6","10.4"
"145","","Ty Montgomery","BAL","RB57","10","102","175","146.8","7.6"
"146","","Corey Clement","PHI","RB58","9","132","179","148.5","9.1"
"156","","Mark Andrews","BAL","TE23","10","88","194","148.8","5.2"
"147","","Danny Amendola","MIA","WR68","11","107","166","149.0","15.9"
"226","","Josh Hill","NO","TE40","6","149","149","149.0","0.0"
"148","","Zay Jones","BUF","WR69","11","117","169","150.3","7.7"
"149","","Cole Beasley","DAL","WR70","8","131","174","152.2","8.7"
"150","","Nelson Agholor","PHI","WR71","9","109","181","152.7","9.5"
"159","","Marcell Ateman","OAK","WR75","7","135","169","153.0","9.1"
"151","","Jamison Crowder","WAS","WR72","4","123","202","153.2","15.0"
"152","","Dallas Goedert","PHI","TE22","9","140","180","153.3","12.2"
"160","","Dontrelle Inman","IND","WR76","9","93","159","153.8","4.6"
"162","","Jermaine Kearse","NYJ","WR78","11","115","190","155.8","8.4"
"163","","Damien Williams","KC","RB61","12","144","179","156.8","10.2"
"229","","Breshad Perriman","CLE","WR105","11","159","159","159.0","0.0"
"165","","Jordy Nelson","OAK","WR80","7","93","174","159.8","11.2"
"179","","Dan Arnold","NO","TE29","6","134","186","162.0","20.1"
"166","","Jamaal Williams","GB","RB62","7","141","185","162.4","6.4"
"155","","Pierre Garcon","SF","WR73","11","133","190","162.5","7.4"
"157","","Rashard Higgins","CLE","WR74","11","132","205","163.5","3.5"
"168","","Wendell Smallwood","PHI","RB63","9","143","193","164.2","13.6"
"169","","Ronald Jones II","TB","RB64","5","149","203","164.8","8.0"
"170","","Ian Thomas","CAR","TE25","4","134","200","165.6","23.7"
"171","","Kelvin Benjamin","FA","WR82","","140","187","166.0","15.7"
"172","","Taywan Taylor","TEN","WR83","8","147","189","166.0","9.9"
"158","","Jordan Thomas","HOU","TE24","10","134","221","166.8","23.2"
"161","","Chris Hogan","NE","WR77","11","154","182","168.5","6.5"
"173","","Tajae Sharpe","TEN","WR84","8","127","208","168.6","17.3"
"174","","Benjamin Watson","NO","TE26","6","132","192","169.0","19.1"
"175","","Darren Sproles","PHI","RB65","9","92","217","169.6","45.6"
"164","","Equanimeous St. Brown","GB","WR79","7","159","182","171.2","5.9"
"176","","Charles Clay","BUF","TE27","11","149","211","171.4","16.2"
"235","","Tim Patrick","DEN","WR108","10","172","172","172.0","0.0"
"189","","Maurice Harris","WAS","WR89","4","158","191","173.5","12.1"
"236","","TJ Jones","DET","WR109","6","174","174","174.0","0.0"
"177","","Keelan Cole","JAC","WR85","9","162","206","174.8","6.1"
